name,link
SoMa StrEat Food Park,https://www.yelp.com/biz/soma-streat-food-park-san-francisco?osq=tacos
El Techo,https://www.yelp.com/biz/el-techo-san-francisco?osq=tacos
Las Palmas Super Burrito & Seafood,https://www.yelp.com/biz/las-palmas-super-burrito-and-seafood-san-francisco?osq=tacos
Topsy’s Fun House,https://www.yelp.com/biz/topsys-fun-house-san-francisco?osq=tacos
Taco Bell,https://www.yelp.com/biz/taco-bell-san-francisco-12?osq=tacos
Chipotle Mexican Grill,https://www.yelp.com/biz/chipotle-mexican-grill-san-francisco-4?osq=tacos
Taco Bell,https://www.yelp.com/biz/taco-bell-san-francisco-19?osq=tacos
SF Crispy Tacos,https://www.yelp.com/biz/sf-crispy-tacos-san-francisco?osq=tacos
Woodhouse Fish Company,https://www.yelp.com/biz/woodhouse-fish-company-san-francisco-3?osq=tacos
The Chairman Truck,https://www.yelp.com/biz/the-chairman-truck-san-francisco?osq=tacos
The Boardroom,https://www.yelp.com/biz/the-boardroom-san-francisco?osq=tacos
360 Degrees Gourmet Burritos,https://www.yelp.com/biz/360-degrees-gourmet-burritos-san-francisco?osq=tacos
Rumors,https://www.yelp.com/biz/rumors-san-francisco-4?osq=tacos
Rumors,https://www.yelp.com/biz/rumors-san-francisco-4?osq=tacos
Teeth SF,https://www.yelp.com/biz/teeth-sf-san-francisco?osq=tacos
Taqueria La Estrella,https://www.yelp.com/biz/taqueria-la-estrella-richmond?osq=tacos
Tacomyface,https://www.yelp.com/biz/tacomyface-san-francisco?osq=tacos
Tonight Soju Bar,https://www.yelp.com/biz/tonight-soju-bar-san-francisco?osq=tacos
Taco Bell,https://www.yelp.com/biz/taco-bell-san-francisco-15?osq=tacos
Taqueria San Bruno,https://www.yelp.com/biz/taqueria-san-bruno-san-bruno?osq=tacos
Gilberth’s Rotisserie & Grill,https://www.yelp.com/biz/gilberths-rotisserie-and-grill-san-francisco?osq=tacos
Luna Azul,https://www.yelp.com/biz/luna-azul-san-francisco?osq=tacos
Chipotle Mexican Grill,https://www.yelp.com/biz/chipotle-mexican-grill-san-francisco-18?osq=tacos
Chavitas,https://www.yelp.com/biz/chavitas-san-francisco?osq=tacos
El Grano De Oro,https://www.yelp.com/biz/el-grano-de-oro-pacifica?osq=tacos
Tommy’s,https://www.yelp.com/biz/tommys-san-francisco-2?osq=tacos
The Blue Light,https://www.yelp.com/biz/the-blue-light-san-francisco-2?osq=tacos
Casa Mexicana II,https://www.yelp.com/biz/casa-mexicana-ii-san-francisco?osq=tacos
Indilicious Cart,https://www.yelp.com/biz/indilicious-cart-san-francisco?osq=tacos
Rosa Mexicano,https://www.yelp.com/biz/rosa-mexicano-san-francisco?osq=tacos
Tacos El Paisano,https://www.yelp.com/biz/tacos-el-paisano-san-francisco-5?osq=tacos
Woodhouse Fish Company,https://www.yelp.com/biz/woodhouse-fish-company-san-francisco-3?osq=tacos
Off the Grid: Civic Center,https://www.yelp.com/biz/off-the-grid-civic-center-san-francisco-3?osq=tacos
Hella Vegan Eats,https://www.yelp.com/biz/hella-vegan-eats-san-francisco-2?osq=tacos
Off the Grid: Fort Mason Center,https://www.yelp.com/biz/off-the-grid-fort-mason-center-san-francisco-3?osq=tacos
Palm House,https://www.yelp.com/biz/palm-house-san-francisco?osq=tacos
Taco Bell,https://www.yelp.com/biz/taco-bell-san-francisco-10?osq=tacos
